word,similarity
덜거덕거리/VV,0.60102113809679
기__88/NNG,0.6003625834393819
ᆫ고/EF,0.6003625834393818
철책/NNG,0.6002840664134532
가/VV,0.6001719621537773
역시/MAJ,0.5985374624568219
붕어뚜룩/NNG,0.5982553584856726
양호실/NNG,0.5981859659567133
안방__02/NNG,0.5980803577019752
숙희/NNP,0.5972078269923102
친절/NNG,0.5967524855347112
물줄기/NNG,0.5963288552910284
노려보/VV,0.5962643931172155
우야꼬/IC,0.5960413699493226
운구/NNG,0.5959299092767083
이러하/VA,0.5957617513639344
신혼여행/NNG,0.5938784306201078
심부름/NNG,0.5938737436280247
반야원/NNP,0.5930886881385966
위치__01/NNG,0.5930777794024951
각자/MAG,0.5930777794024951
외할아버지/NNG,0.592972186117092
들리__04/VV,0.5928702624772586
섬머힐/NNP,0.5927593417603806
병철이/NNP,0.5927416081879596
구둣발/NNG,0.5917325013492681
배__01/NNG,0.591732501349268
물음__01/NNG,0.5915253153077598
마카오/NNP,0.5912725462865311
스며들/VV,0.591245816303924
빗물/NNG,0.591245816303924
삽/NNG,0.5907071662419368
고향__02/NNG,0.5904857202263559
내방깐/NNG,0.5903157698139647
조상국/NNP,0.590278614323433
삼돌이/NNP,0.5898969986371239
선희/NNP,0.5896795768133858
신축__03/NNG,0.589180861816264
제리/NNP,0.5886989613591389
벌써/MAG,0.5883805881336612
응/IC,0.5875687984832205
어쨌든/MAG,0.5874338695739594
어데/NP,0.587319004431516
행렬/NNG,0.5872720775205187
정암리/NNP,0.5872720775205187
갈림길/NNG,0.5871016803290482
산마루/NNG,0.5870887272510481
괭이__01/NNG,0.587073835203336
둔덕/NNG,0.587073835203336
구마/EF,0.5859594315132091
봉창__06/NNG,0.5858652787498343
소년원/NNG,0.5848723340122701
동승__02/NNG,0.5848243182398568
사흘/NNG,0.5835940747648503
습니까/EF,0.5828613382022226
궁가__02/NNG,0.5828613382022226
우시장/NNG,0.5827255335365199
허겁지겁/MAG,0.5826974161936683
내행__01/NNG,0.5826692252382848
칼날/NNG,0.5825966691123989
빈집/NNG,0.5825605373423839
말끝/NNG,0.5825226249268057
지__02/NNB,0.5822817198434227
직구/NNG,0.5818255795275604
안개/NNG,0.5817661785932258
윤선호/NNP,0.5811941350231411
이르/NNP,0.5808080608491367
농협/NNP,0.5807167551098423
한유지/NNP,0.580676206078773
어서/MAG,0.5805532512465149
근데/MAJ,0.5805293611252073
성행위/NNG,0.5804930053058113
돌쇠/NNP,0.5804630364631087
출근/NNG,0.5800534963082207
훌쩍/MAG,0.5799878712512305
교수__06/NNG,0.5796472868915994
현/NNP,0.5794015968214481
동도/NNP,0.5791589914883323
단집/NNG,0.5791427316028078
거들떠보/VV,0.5790475780844162
이재필/NNP,0.5790242403867735
제발/MAG,0.5789640482260217
입장료/NNG,0.578943413310308
꼬리__01/NNG,0.5788324460643006
굽히/VV,0.5788324460643006
성큼성큼/MAG,0.57865603773992
연구__03/NNG,0.5784121829716133
얘/NP,0.5782169156554284
야삽/NNG,0.5782116409912571
효선/NNP,0.5780769794172491
부대__08/NNG,0.5780550511267755
전경__09/NNG,0.5780550511267755
슬쩍/MAG,0.577868843317248
으니까/EF,0.577594129585757
전사__22/NNG,0.5775497749700377
요론트/NNP,0.5772723154477613
청운동/NNP,0.5772473928308463
라미애/NNP,0.5770177510662697
끝섬/NNP,0.5770177510662697
대변소/NNG,0.5764426885711686
정현이/NNP,0.5763864231365515
랑/JC,0.5763864231365514
좀더/MAG,0.576120950900949
알타미라/NNP,0.5761168517869544
끼익/MAG,0.5759209903702647
계속__04/NNG,0.575783157873864
뒷곁/NNG,0.5757786765940602
주인집/NNG,0.5757786765940602
ᆯ까요/EF,0.5757427684354974
뛰어나가/VV,0.5756545215863307
근교/NNG,0.5754439840640914
도선장/NNG,0.575327776039502
동현/NNP,0.5752036054415319
ᆫ대/EF,0.575058011879314
우주__02/NNG,0.5748499074040639
비행사/NNG,0.5748499074040639
가로등/NNG,0.5748490351427927
종가__01/NNG,0.5744628561064674
도대체/MAG,0.5743635267039516
서울역/NNP,0.574310196268554
미끄러뜨리/VV,0.5736956717041143
젊음/NNG,0.5736541319072785
찾아들/VV,0.5735937905293688
라예/EF,0.5734979218166538
사랑채/NNG,0.5734979218166538
끊/VV,0.5733928296565147
카라카라/NNP,0.5732097049954645
더니/EC,0.5731260991908592
오른발/NNG,0.5730652907549567
치솟/VV,0.5730652907549567
떨어뜨리/VV,0.5724186054788629
김영하/NNP,0.5723093674575276
탑골/NNP,0.5720465843624799
학용이/NNP,0.572016426586623
잠깐/NNG,0.5719705192463527
성진/NNP,0.5719136299565064
어슷세기/NNG,0.5717218116376861
찬자__02/NNG,0.5716868787486123
사직동/NNP,0.5716815379731103
바짝/MAG,0.5714643526879986
연탄__03/NNG,0.5713960860139766
아궁이/NNG,0.5713960860139766
몰아넣/VV,0.5713653593769153
하체__02/NNG,0.5713166556332268
